name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Marchioni, Marchiono de",scribe,"","",human,Marchiono de Marchioni,Q114242524
"Mariensüss, Bartholomäus, -1504",author,"","",human,Bartholomäus Mariensüss,Q114242413
"Marriette, Charles, 15th cent",former owner,"","",human,Charles Marriette,Q114242526
"Marx, Hermann",former owner,"","",human,Hermann Marx,Q114242527
"Masson, Irvine, 1887-1962",former owner,"","",human,Irvine Masson,Q15441871
Mādhava Rāma,author,مادهو رام,"",human,Mādhava Rāma,Q114242521
"McClenahan, Jean P., 1908-1994",former owner,"","",human,Jean P. McClenahan,Q114242529
"McRoberts, David",former owner,"","",human,David McRoberts,Q95002340
"Migieu, Anthelme-Michel-Laurent de, marquis de Savigny, 1723-1788",former owner,"","",human,"Anthelme-Michel-Laurent de Migieu, marquis de Savigny",Q114242532
"Millini, Pietro",former owner,"","",human,Pietro Millini,Q114242487
"Molac, Sébastien de Rosmadec, marquis de, d. 1693",former owner,"","",human,"Sébastien de Rosmadec, marquis de Molac",Q114242533
Muḥammad al-Raʼīs,former owner,محمد الرأيس،,"",human,Muḥammad al-Raʼīs,Q114242535
Muḥammad ʻAbd al-Ḥayy ibn ʻAbd al-Kabīr al-Kinānī al-Ḥasanī,former owner,محمد عبد الحي بن عبد الكبير الكناني الحسني،,"",human,Muḥammad ʻAbd al-Ḥayy ibn ʻAbd al-Kabīr al-Kinānī al-Ḥasanī,Q114242537
"Muscarello, Pietro Paolo",author,"","",human,Pietro Paolo Muscarello,Q114242415
"Nabi, 1641 or 1642-1712",author,نابی، 1641 ياخود 1642-1712,"",human,Yusuf Nabi,Q2351863
"Nasafī, ʻAbd Allāh ibn Aḥmad, -1310",author,نسفي، عبد الله بن احمد، -1310,"",human,ʿAbdallāh Ibn-Aḥmad Nasafī,Q12223449
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,‏نظامى گنجوى،‏ 1140 یا 1141-1202 یا 1203,"",human,Nezami Ganjavi,Q234908
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,نظامى گنجوى، 1140 یا 1141-1202 یا 1203,"",human,Nezami Ganjavi,Q234908
"North, Frederick, Earl of Guilford, 1766-1827",former owner,"","",human,Frederick North,Q333623
Nr̥siṃhāśrama,author,"","",human,Nr̥siṃhāśrama,Q114242422
"Paolo, Veneto, approximately 1370-1428",author,"","",human,Paul of Venice,Q2064265
"Phillipps, Thomas, Sir, 1792-1872",former owner,"","",human,Thomas Phillipps,Q2147709
"Pius VI, Pope, 1717-1799",former owner,"","",human,Pius VI,Q128019
Poblet (Monastery),former owner,"","",organization,Poblet Monastery,Q645157
"Ptolemy, active 2nd century",author,بطليموس، active 2nd century,"",human,Ptolemy,Q34943
"Qasṭallānī, Aḥmad ibn Muḥammad, 1447 or 1448-1517 or 1518",author,قسطلاني، احمد بن محمد، 1447 أو 1448-1517 أو 1518,"",human,Al-Qastallani,Q2829271
