title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Tabule illustrissimi principis regis alfonsii ... etc,"",Alphonsine Tables.,"",
Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-Shamsīyah,تحرير القواعد المنطقية في شرح الرسالة الشمسية.,"","",""
Tanbīh al-ghāfilīn wa-īḍāḥ sabīl al-murshidīn,تنبيه الغافلين وايضاح سبيل المرشدين.,Tanbīh al-ghāfilīn.,تنبيه الغافلين.,
Tarjumah-ʼi khuṭab-i arbaʻīn,ترجمۀ خطب اربعین.,"","",""
Tattvadīpaṇa,"तत्त्वदीपण,","","",""
Tattvaviveka,"तत्त्वविवेक,",Vedāntatattvaviveka,"",
Thesaurus pauperum ... etc,"","","",
Tractatum de spera ... etc,"",Sphaera mundi,"",
Trattato delle proportioni et proportionalità,"","","",
Vāmanasūkta,"वामनसूक्त,",Vedas.,"",
"Via salutis, del dieta","",Diaeta salutis,"",
Vivaraṇatattvadīpaṇa,विवरणतत्त्वदीपण.,"","",""
Ymage du monde,"",Image du monde.,"",
Ynstruction of the ephimeredes,"","","",
Z̲akhīrah-ʹi Khvārazmshāhī,ذخيره‌ خوارزم‌شاهى.,"","",
al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,الفتح الرباني فيما ذهل عنه الزرقاني.,"","",""
al-Fatḥ al-ẓāhir wa-al-naṣr al-bāhir fī fann ramy al-ṭūb wa-al-qunburah,الفتح الظاهر والنصر الباهر في فن رمي الطوب والقنبرة.,"","",""
al-Ḥawḍ. Baḥr al-dumūʻ,الحوض. بحر الدموع.,"","",""
al-Juzʼ al-thalāthūn,الجزء الثلاثون.,Qurʼan.,قرآن.,
al-Qurʼān,القرآن,Qurʼan.,قرآن.,
al-Qurʼān,القرآن.,Qurʼan.,قرآن.,
al-Risālah al-dāmighah lil-fāsiq... etc,الرسالة الدامغة للفاسق... إلخ..,"","",""
al-Tuḥfah al-shāhīyah fī al-hayʼah,التحفة الشاهية في الهيئة.,"","",""
