subject_as_recorded,source_authority_uri,authorized_label,structured_value
Divination--Religious aspects--Islam,"",Divination--Religious aspects--Islam,http://id.worldcat.org/fast/895750
Druzes,"",Druzes,http://id.worldcat.org/fast/899110
Druzes--Sacred books--Early works to 1800,"",Druzes;Sacred books;Early works,http://id.worldcat.org/fast/899110;http://id.worldcat.org/fast/1423905;http://id.worldcat.org/fast/1411636
Dyes and dyeing--Early works to 1800,"",Dyes and dyeing;Early works,http://id.worldcat.org/fast/900233;http://id.worldcat.org/fast/1411636
Encyclopedias and dictionaries--Early works to 1600,"",Encyclopedias and dictionaries;Early works,http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/1411636
Ephemerides--Early works to 1800,"",Ephemerides;Early works,http://id.worldcat.org/fast/913680;http://id.worldcat.org/fast/1411636
Ethics,"",Ethics,http://id.worldcat.org/fast/915833
Ethics--Early works to 1800,"",Ethics;Early works,http://id.worldcat.org/fast/915833;http://id.worldcat.org/fast/1411636
Explosives--Early works to 1800,"",Explosives;Early works,http://id.worldcat.org/fast/918611;http://id.worldcat.org/fast/1411636
Fever--Early works to 1800,"",Fever;Early works,http://id.worldcat.org/fast/923528;http://id.worldcat.org/fast/1411636
France--Kings and rulers--Genealogy--Early works to 1800,"",France;Kings and rulers;Genealogy;Early works,http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/987694;http://id.worldcat.org/fast/1423818;http://id.worldcat.org/fast/1411636
"Geography, Medieval","","Geography, Medieval",http://id.worldcat.org/fast/940573
Geography--Early works to 1800,"",Geography;Early works,http://id.worldcat.org/fast/940469;http://id.worldcat.org/fast/1411636
Geomancy,"",Geomancy,http://id.worldcat.org/fast/940820
Geometry--Early works to 1800,"",Geometry;Early works,http://id.worldcat.org/fast/940864;http://id.worldcat.org/fast/1411636
Great Britain--Kings and rulers--Genealogy--Early works to 1800,"",Great Britain;Kings and rulers;Genealogy;Early works,http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/987694;http://id.worldcat.org/fast/1423818;http://id.worldcat.org/fast/1411636
Hadith,"",Hadith,http://id.worldcat.org/fast/950112
Hadith--Commentaries--Early works to 1800,"",Hadith--Commentaries;Early works,http://id.worldcat.org/fast/950119;http://id.worldcat.org/fast/1411636
"Hadith--Criticism, interpretation, etc.--Early works to 1800","","Hadith;Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/950112;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636
Hanafites--Early works to 1800,"",Hanafites;Early works,http://id.worldcat.org/fast/950818;http://id.worldcat.org/fast/1411636
Hebrew language--Etymology--Early works to 1800,"",Hebrew language--Etymology;Early works,http://id.worldcat.org/fast/954220;http://id.worldcat.org/fast/1411636
"Hindu hymns, Sanskrit","","Hindu hymns, Sanskrit",http://id.worldcat.org/fast/957053
Hindu mythology,"",Hindu mythology,http://id.worldcat.org/fast/1729920
Hindu philosophy,"",Hindu philosophy,http://id.worldcat.org/fast/1729923
Hindu philosophy--Early works to 1800,"",Hindu philosophy;Early works,http://id.worldcat.org/fast/1729923;http://id.worldcat.org/fast/1411636
Hinduism--Rituals--Texts,"",Hinduism--Rituals;Texts,http://id.worldcat.org/fast/957154;http://id.worldcat.org/fast/1423705
Horsemanship--Equipment and supplies,"",Horsemanship--Equipment and supplies,http://id.worldcat.org/fast/960566
Horsemanship--Equipment and supplies--Early works to 1800,"",Horsemanship--Equipment and supplies;Early works,http://id.worldcat.org/fast/960566;http://id.worldcat.org/fast/1411636
"Illumination of books and manuscripts, Carolingian","","Illumination of books and manuscripts, Carolingian",http://id.worldcat.org/fast/967267
"Illumination of books and manuscripts, Carolingian--Specimens","","Illumination of books and manuscripts, Carolingian;Specimens",http://id.worldcat.org/fast/967267;http://id.worldcat.org/fast/1423861
Illumination of books and manuscripts--Specimens,"",Illumination of books and manuscripts;Specimens,http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1423861
Iran,"",Iran,http://id.worldcat.org/fast/1204889
Iran--History--To 640--Poetry,"",Iran;History;Poetry,http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1423828
Islam,"",Islam,http://id.worldcat.org/fast/979776
Islam--Customs and practices,"",Islam--Customs and practices,http://id.worldcat.org/fast/979785
Islam--Customs and practices--Early works to 1800,"",Islam--Customs and practices;Early works,http://id.worldcat.org/fast/979785;http://id.worldcat.org/fast/1411636
Islam--Doctrines--Early works to 1800,"",Islam--Doctrines;Early works,http://id.worldcat.org/fast/979787;http://id.worldcat.org/fast/1411636
Islam--Prayers and devotions,"",Islam--Prayers and devotions,http://id.worldcat.org/fast/979821
Islam--Prayers and devotions--Early works to 1800,"",Islam--Prayers and devotions;Early works,http://id.worldcat.org/fast/979821;http://id.worldcat.org/fast/1411636
Islamic Empire--History,"",Islamic Empire;History,http://id.worldcat.org/fast/1244134;http://id.worldcat.org/fast/1411628
